"text","givenName","gender","correct_logical","correct_gender","genderIndicators"
"Lax, Rolf Henrik Richard","richard","male",1,"male",4
"Kalliomäki, Antti Tapani","antti","male",1,"male",2
"Lehtosaari, Markku Antero","markku","male",1,"male",2
"Leppänen, Pekka Verneri","pekka","male",1,"male",2
"Leppänen, Urpo Olavi","olavi","male",1,"male",1
"Kanerva, Ilkka Armas Mikael","mikael","male",1,"male",2
"Liikanen, Erkki Antero","erkki","male",1,"male",2
"Lindroos, Reijo Armas","reijo","male",1,"male",1
"Linnainmaa, Tuula Maj-Lis","lis","female",1,"female",3
"Louekoski, Matti Kalevi","matti","male",1,"male",2
"Kankaanniemi, Toimi Olavi","olavi","male",1,"male",1
"Louvo, Anna-Kaarina","anna","female",1,"female",2
"Kauppinen, Riitta Anneli","anneli","female",1,"female",2
"Kekkonen, Martti Antero","antero","male",1,"male",2
"Luttinen, Vilho Matti","matti","male",1,"male",2
"Kemppainen, Arvo Kari","kari","female",0,"male",2
"Löyttyjärvi (e. Salminen), Marja-Liisa","liisa","female",1,"female",2
"Kietäväinen, Timo Päivö Kalervo","timo","male",1,"male",1
"Kasurinen (e. Piipari), Anna-Liisa","anna","female",1,"female",2
"Maijala, Matti Jaakko","matti","male",1,"male",2
"Jääskeläinen, Keijo Eero","eero","male",1,"male",2
"Malm, Lars Håkan","håkan","male",1,"male",2
"Jäätteenmäki, Anneli Tuulikki","anneli","female",1,"female",2
"Mattila, Kalevi Kustaa","kalevi","male",1,"male",1
"Kohijoki, Maunu Mikael","mikael","male",1,"male",1
"Koistinen, Elsa Annikki","elsa","female",1,"female",2
"Kokko, Heikki Sakarias","heikki","male",1,"male",3
"Korkia-Aho, Martti Einar","einar","male",1,"male",3
"Kortesalmi, Jouko Juhani (J. Juhani)","juhani","male",1,"male",2
"Metsämäki, Lauri Juhani","lauri","female",0,"male",2
"Kuuskoski (e. Kuuskoski-Vikatmaa), Eeva Maija Kaarina","maija","female",1,"female",3
"Miettinen, Mauri Kalevi","mauri","male",1,"male",3
"Kärhä, Lea Kyllikki","lea","female",1,"female",1
"Moilanen, Anja Eeva-Liisa","liisa","female",1,"female",3
"Kääriäinen, Seppo Arimo","seppo","male",1,"male",1
"Myller, Riitta Mailis Mirjami","riitta","female",1,"female",3
"Ollila, Heikki Antero (Heikki A.)","heikki","male",1,"male",2
"Paakkinen, Saara-Maria","maria","female",1,"female",2
"Paasilinna, Reino Kalervo","reino","male",1,"male",1
"Paasio, Pertti Kullervo","pertti","male",1,"male",1
"Mäkelä, Tina Elise","tina","female",1,"female",2
"Pihlajamaa (e. Sarja, e. Hautamäki, e. Paavilainen), Tuula Kaarina","tuula","female",1,"female",2
"Paloheimo, Eero Kalervo","eero","male",1,"male",1
"Pekkarinen, Reijo Mauri Matias","matias","male",1,"male",3
"Pelttari, Seppo Viljo","seppo","male",1,"male",2
"Mäkipää, Lea Kaarina","lea","female",1,"female",2
"Perho, Martti Heikki","heikki","male",1,"male",2
"Pesola, Anja Helena","helena","female",1,"female",2
"Laisaari, Taru Sinikka","taru","female",1,"female",2
"Pesälä, Veijo Mikko","mikko","male",1,"male",2
"Pohjanoksa, Aino Siviä","aino","female",1,"female",1
"Mörttinen, Tapani Johannes","johannes","male",1,"male",2
"Nieminen, Niilo Einari","niilo","male",1,"male",1
"Niinistö, Sauli Väinämö","sauli","male",1,"male",1
"Nordman, Bengt Håkan","håkan","male",1,"male",2
"Nyby, Mats Bertil","mats","male",1,"male",2
"Nyman, Per-Henrik","henrik","male",1,"male",2
"Pietikäinen, Sirpa Maria","maria","female",1,"female",2
"Rajamäki, Kari Juhani","kari","female",0,"male",2
"Ranta, Jussi Yrjö Kalevi","jussi","male",1,"male",2
"Rantanen, Jorma Kaarlo Vilho","jorma","male",1,"male",3
"Rauramo, Anssi Mauno Heikki","heikki","male",1,"male",3
"Rehn, Märta Elisabeth","märta","female",1,"female",2
"Renko (e. Nousiainen), Terttu Tellervo","terttu","female",1,"female",1
"Sorsa, Taisto Kalevi","kalevi","male",1,"male",1
"Pohjola, Markku Juhani","markku","male",1,"male",2
"Pokka, Pirkko Hannele","hannele","female",1,"female",2
"Puhakka, Matti Juhani","matti","male",1,"male",2
"Puisto, Virpa Terhikka",NA,NA,0,"female",0
"Pulliainen, Erkki Ossi Olavi","erkki","male",1,"male",3
"Puolanne, Ulla Kaija","ulla","female",1,"female",2
"Puska, Pekka Matti Jaakko","matti","male",1,"male",3
"Pystynen, Erkki Topias","erkki","male",1,"male",1
"Renlund, Boris Elof Vilhelm","boris","male",1,"male",2
"Riihijärvi, Heikki Anssi","heikki","male",1,"male",2
"Rinne, Heikki Untamo","heikki","male",1,"male",1
"Roos, Jukka Antero","jukka","male",1,"male",3
"Roos, Timo Antero","timo","male",1,"male",3
"Rusanen, Pirjo Maija","pirjo","female",1,"female",2
"Ryynänen, Anja Mirja Kerttuli","anja","female",1,"female",2
"Väistö, Matti Kalervo","matti","male",1,"male",1
"Röntynen, Kalle Herman","herman","male",1,"male",2
"Saarinen, Matti Kalervo","matti","male",1,"male",1
"Seppänen, Esko Olavi","esko","male",1,"male",2
"Savela, Veikko Oiva","veikko","male",1,"male",1
"Saapunki, Pauli Johannes","johannes","male",1,"male",2
"Saari, Aapo Juhani","juhani","male",1,"male",2
"Saastamoinen, Ulla Riitta","ulla","female",1,"female",2
"Salolainen, Pertti Edvard","edvard","male",1,"male",2
"Sarapää, Kimmo Juhani","kimmo","male",1,"male",2
"Sasi, Kimmo Kalevi Immeri","kimmo","male",1,"male",3
"Savolainen, Lea Tuulikki","lea","female",1,"female",2
"Siitonen, Eva-Riitta","eva","female",1,"female",2
"Sillanpää, Juho Hermanni (Jussi)","jussi","male",1,"male",3
"Soininvaara, Osmo Heikki Kristian","kristian","male",1,"male",3
"Siuruainen, Eino Olavi","olavi","male",1,"male",2
"Skinnari, Jouko Juhani","juhani","male",1,"male",2
"Särkijärvi, Jouni Juhani (Jouni J.)","jouni","male",1,"male",2
"Turunen, Eeva Annikki","eeva","female",1,"female",2
"Väänänen, Helmi Marjatta","helmi","male",0,"female",2
"Stenius-Kaukonen (e. Stenius, e. Mattsson), Minna Marjatta","minna","female",1,"female",2
"Suominen, Ilkka Olavi","ilkka","male",1,"male",2
"Säilynoja, Vappu Johanna","johanna","female",1,"female",2
"Taina, Anneli Kristiina","anneli","female",1,"female",3
"Taxell, Lars Evald Christoffer","lars","male",1,"male",3
"Tenhiälä, Hannu Yrjänä","hannu","male",1,"male",1
"Tennilä, Esko-Juhani","esko","male",1,"male",2
"Tiuri, Martti Eelis","martti","male",1,"male",1
"Wahlström, Jarmo Johannes","johannes","male",1,"male",2
"Valli, Sakari Esa","esa","male",1,"male",3
"Valo, Tauno Valter","valter","male",1,"male",3
"Tykkyläinen, Marja-Liisa","liisa","female",1,"female",2
"Varpasuo, Päivi Paula Annikki","paula","female",1,"female",3
"Tähkämaa (v:een 1935 Blomqvist), Taisto Toivo Johannes","johannes","male",1,"male",2
"Vastamäki, Ritva Annikki","ritva","female",1,"female",2
"Wasz-Höckert, Bror Ole","ole","male",1,"male",2
"Törnqvist, Kerttu Annikki","kerttu","female",1,"female",2
"Vennamo, Pekka Veikko","pekka","male",1,"male",2
"Uitto, Pauli Henrik","henrik","male",1,"male",2
"Uosukainen, Riitta Maria","maria","female",1,"female",2
"Vihriälä, Jukka Pekka","jukka","male",1,"male",2
"Viinanen, Iiro Tahvo Juhani","juhani","male",1,"male",2
"Viljanen, Matti Juhani","matti","male",1,"male",2
"Vistbacka, Raimo Viljam","raimo","male",1,"male",1
"Vuoristo, Raimo Johannes","johannes","male",1,"male",2
"Urpilainen, Kari Johannes","kari","female",0,"male",2
"Vähäkangas, Martti Juhani","juhani","male",1,"male",2
"Vähänäkki, Matti Kalervo","matti","male",1,"male",1
"Väyrynen, Paavo Matti","matti","male",1,"male",2
"Zyskowicz, Ben Berl","ben","male",1,"male",2
"Holkeri, Harri Hermanni","harri","male",1,"male",2
"Norrback, Johan Ole","johan","male",1,"male",2
"Pohjala, Toivo Topias (Toivo T.)","toivo","male",1,"male",1
"Kettunen, Pentti Herman","herman","male",1,"male",2
"Kautto, Tarja Helena","helena","female",1,"female",2
"Söderman, Jacob-Magnus (Jacob)","jacob","male",1,"male",2
"Joutsensaari, Kaarlo Gunnar Johannes","gunnar","male",1,"male",3
"Jyrkilä, Reino","reino","male",1,"male",1
"Raudaskoski, Väinö Matias","matias","male",1,"male",2
"Iivari, Ulpu Marjatta","marjatta","female",1,"female",1
"Kemppainen, Hannu Samuli","hannu","male",1,"male",2
"Lemström, Kaarlo Rainer","rainer","male",1,"male",2
"Skön, Pentti Olavi","pentti","male",1,"male",2
"Suonio, Kaarina Elisabeth","elisabeth","female",1,"female",2
"Jokela, Mikko Eljas Eenokki","mikko","male",1,"male",1
"Kalima, Kai-Erik Klaus (Kai)","erik","male",1,"male",3
"von Bell, Aarno Juhani","bell","female",0,"male",3
"Muttilainen, Kyllikki Hellevi","hellevi","female",1,"female",1
"Biaudet, Eva Rita Katarina","eva","female",1,"female",3
"Hautala, Heidi Anneli","heidi","female",1,"female",2
"Lipponen, Paavo Tapio","tapio","male",1,"male",2
"Luukkainen, Hannele Marja-Liisa","liisa","female",1,"female",3
"Ojala, Outi Marjatta","outi","female",1,"female",2
"Rehn, Olli Ilmari","olli","male",1,"male",2
"Tuomioja, Erkki Sakari","erkki","male",1,"male",2
"Koskinen, Hannu Erkki Johannes","johannes","male",1,"male",3
"Lindqvist, Maija-Liisa","liisa","female",1,"female",2
"Räty, Pekka Kullervo","pekka","male",1,"male",1
"Saario, Väinö Sakari","sakari","male",1,"male",2
"Toivonen, Kyösti Tapio","tapio","male",1,"male",2
"Hassi, Satu Maijastiina","satu","female",1,"female",2
"Laukkanen, Vesa Johannes","johannes","male",1,"male",3
"Morri, Helmi Esteri","helmi","male",0,"female",2
"Ojala, Arja Orvokki","arja","female",1,"female",2
"Rimmi, Eila Marjatta","eila","female",1,"female",3
"Takala, Irmeli Johanna","johanna","female",1,"female",2
"Vuorensola, Markku Ilmari","markku","male",1,"male",2
"Laitinen, Reijo Kalevi","kalevi","male",1,"male",2
"Leppänen, Frans Johannes","johannes","male",1,"male",2
"Suhola, Aino Kyllikki","aino","female",1,"female",1
"Viljamaa, Marja-Leena","leena","female",1,"female",3
"Polvi, Iivo Alvari",NA,NA,0,"male",0
"Rossi, Markku Kalevi","rossi","male",1,"male",3
